                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4571,                 4.8964,                 1.1656,                0.00333,                0.03922,                0.00175,                0.00102,                 2.1094,                 3.9823,                 0.9924,                  8e-05,                  8e-05,                  8e-05
                      1,                 2.1108,                 3.9551,                 1.0315,                0.01033,                0.12157,                0.00613,                0.00235,                 2.3749,                 3.8464,                0.94384,             0.00017822,             0.00017822,             0.00017822
                      2,                 2.1278,                 2.8918,                0.96373,                0.01633,                0.19216,                0.01079,                0.00432,                 2.2191,                  3.566,                0.92207,             0.00027446,             0.00027446,             0.00027446
                      3,                 2.0672,                 2.3024,                 0.9717,                0.01567,                0.18431,                0.01077,                0.00419,                 2.1385,                 3.5293,                0.90116,             0.00036871,             0.00036871,             0.00036871
                      4,                 2.0895,                 2.2751,                0.92214,                0.01167,                0.13725,                0.00675,                0.00296,                 2.2782,                 3.5368,                0.90239,             0.00046099,             0.00046099,             0.00046099
                      5,                 2.0768,                 2.1354,                0.93465,                  0.012,                0.14118,                0.00731,                0.00351,                 2.0831,                 3.4499,                0.89473,             0.00055129,             0.00055129,             0.00055129
                      6,                  2.067,                 1.9615,                0.91734,                0.01667,                0.19608,                0.01145,                0.00524,                 2.0861,                 3.3296,                 0.9017,             0.00063961,             0.00063961,             0.00063961
                      7,                 2.0286,                 1.9145,                0.92338,                  0.018,                0.21176,                0.01196,                0.00529,                 2.1698,                 3.3467,                 0.9132,             0.00072595,             0.00072595,             0.00072595
                      8,                 2.0251,                 1.9412,                 0.9071,                  0.027,                0.31765,                0.02275,                0.00962,                 2.1608,                 3.2254,                0.91875,              0.0008103,              0.0008103,              0.0008103
                      9,                 1.9886,                 1.7699,                0.92677,                0.03367,                0.39608,                0.09131,                0.04333,                 2.1041,                 3.0235,                0.93064,             0.00089268,             0.00089268,             0.00089268
                     10,                 2.0147,                 1.7867,                0.91029,                  0.035,                0.41176,                0.05131,                0.02298,                 2.1683,                 2.9959,                0.94343,             0.00097308,             0.00097308,             0.00097308
                     11,                 2.0798,                 1.7405,                0.92241,                  0.036,                0.42353,                 0.1303,                0.06615,                 2.1727,                 2.8707,                0.92427,              0.0010515,              0.0010515,              0.0010515
                     12,                   1.94,                 1.6287,                0.91727,                0.03567,                0.41961,                0.15824,                0.07608,                  2.107,                 2.7796,                0.91707,              0.0011279,              0.0011279,              0.0011279
                     13,                  2.027,                 1.6486,                 0.9421,                0.36335,                0.23137,                0.19138,                0.08639,                 2.0916,                 2.7416,                0.90528,              0.0012024,              0.0012024,              0.0012024
                     14,                 1.9659,                 1.6065,                0.93509,                0.61174,                0.16078,                0.24606,                0.10139,                 2.1541,                 2.6505,                 0.9192,              0.0012749,              0.0012749,              0.0012749
                     15,                 1.9868,                 1.6265,                0.90952,                0.56708,                0.20548,                0.23708,                0.10436,                 2.1514,                 2.6098,                0.92293,              0.0013454,              0.0013454,              0.0013454
                     16,                 2.0327,                 1.6273,                0.91312,                0.65911,                0.18957,                0.26681,                0.11021,                 2.1578,                 2.5324,                0.92361,              0.0014139,              0.0014139,              0.0014139
                     17,                 2.0304,                 1.6061,                0.90729,                0.72376,                0.11303,                0.29251,                 0.1194,                 2.1362,                 2.3714,                0.93825,              0.0014804,              0.0014804,              0.0014804
                     18,                 1.9975,                 1.5852,                0.91471,                0.78425,                0.18533,                0.34614,                0.13872,                 2.0599,                  2.174,                0.92753,               0.001545,               0.001545,               0.001545
                     19,                 2.0361,                 1.5275,                0.89251,                0.59131,                0.18824,                0.29768,                0.12051,                 2.0703,                  2.228,                0.91101,              0.0016076,              0.0016076,              0.0016076
                     20,                 2.0361,                 1.5778,                0.92791,                0.65241,                0.23554,                0.33829,                0.14074,                  2.073,                  2.064,                 0.9145,               0.001604,               0.001604,               0.001604
                     21,                 1.9786,                 1.5307,                0.92854,                0.74126,                0.30588,                0.40729,                0.16337,                 2.0247,                 1.8482,                 0.9184,               0.001604,               0.001604,               0.001604
                     22,                 1.9366,                 1.5272,                0.91351,                0.70849,                0.29412,                0.40258,                0.15853,                 2.0615,                 1.8522,                0.93025,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9765,                 1.5371,                0.93563,                0.71814,                0.33725,                0.39045,                0.14859,                 2.1434,                 1.8797,                0.94543,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0078,                 1.5117,                  0.939,                0.66768,                0.33093,                0.36725,                0.14676,                 2.1211,                 1.9006,                 0.9262,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1224,                 1.5403,                0.91025,                0.63659,                 0.3451,                0.35809,                0.13891,                 2.0572,                 1.8848,                0.91665,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9905,                 1.4673,                 0.9251,                0.62953,                0.36863,                0.35917,                0.13858,                 2.0684,                 1.8247,                0.91763,               0.001505,               0.001505,               0.001505
                     27,                  1.941,                 1.4644,                0.90424,                0.62377,                0.36471,                0.38563,                0.15862,                 2.0682,                 1.7426,                0.92481,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8538,                 1.3791,                0.90941,                0.61062,                0.36078,                0.35201,                0.13813,                 2.0842,                 1.8837,                 0.9332,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8034,                 1.3671,                0.91091,                0.63355,                0.32157,                0.34579,                0.13116,                 2.1189,                 1.9362,                0.93756,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8384,                 1.4399,                0.91863,                0.63117,                0.35686,                0.35622,                0.14264,                 2.0753,                 1.8054,                0.92724,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9219,                 1.3997,                0.92115,                0.64739,                    0.4,                0.38886,                0.13973,                 2.1987,                 1.6902,                0.92878,               0.001406,               0.001406,               0.001406
                     32,                 1.8946,                 1.3509,                0.92684,                0.52182,                0.34902,                0.28807,                 0.1001,                   2.32,                 1.7976,                0.92921,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8959,                 1.3807,                0.91526,                0.57496,                0.36471,                0.34368,                0.13111,                 2.2617,                 1.6946,                0.92612,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9321,                 1.4081,                0.91771,                0.57727,                0.38557,                0.38368,                0.16041,                 2.0903,                 1.6126,                0.92333,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8968,                 1.3298,                0.89659,                0.59786,                0.40392,                0.39627,                0.17012,                 2.1008,                 1.5502,                0.92089,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9378,                 1.3625,                0.90462,                0.56904,                0.38836,                0.38799,                0.16537,                 2.1238,                  1.545,                0.91839,               0.001307,               0.001307,               0.001307
                     37,                 1.8948,                 1.2923,                0.88974,                0.60227,                    0.4,                0.38523,                0.16456,                 2.0797,                 1.5542,                0.91745,              0.0012872,              0.0012872,              0.0012872
